segment_text,main_category,subcategory,combined_category,word_count,token_count,start_position,end_position,original_sentence,token_ids,segment_id
CAPITOLO PRIMO La scorciatoia 1,Metadata,UNLABELLED,Metadata,5,5,0,43,"Ero meravigliato di essere vivo, ma stanco di aspettare soccorsi.","['1-1', '1-2', '1-3', '1-4', '1-5']",1
"Ero meravigliato di essere vivo, ma stanco di aspettare soccorsi.",UNLABELLED,UNLABELLED,UNLABELLED,10,12,47,112,"Ero meravigliato di essere vivo, ma stanco di aspettare soccorsi.","['1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '1-12', '1-13', '1-14', '1-15', '1-16', '1-17']",2
"Stanco soprattutto degli alberi che crescevano lungo il burrone, dovunque ci fosse posto per un seme che capitasse a finirvi i suoi giorni.",UNLABELLED,UNLABELLED,UNLABELLED,23,25,113,252,"Stanco soprattutto degli alberi che crescevano lungo il burrone, dovunque ci fosse posto per un seme che capitasse a finirvi i suoi giorni.","['2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '2-9', '2-10', '2-11', '2-12', '2-13', '2-14', '2-15', '2-16', '2-17', '2-18', '2-19', '2-20', '2-21', '2-22', '2-23', '2-24', '2-25']",3
"Il caldo, quell ’ atmosfera morbida, che nemmeno la brezza del mattino riusciva a temperare, dava alle piante l ’ aspetto di animali impagliati.",Description,Landscape,Description_Landscape,22,28,253,393,"Il caldo, quell’atmosfera morbida, che nemmeno la brezza del mattino riusciva a temperare, dava alle piante l’aspetto di animali impagliati.","['3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '3-12', '3-13', '3-14', '3-15', '3-16', '3-17', '3-18', '3-19', '3-20', '3-21', '3-22', '3-23', '3-24', '3-25', '3-26', '3-27', '3-28']",4
"Da quando il camion s ’ era rovesciato, proprio alla curva della prima discesa, il dente aveva ripreso a dolermi, e ora un impulso che sentivo irresistibile",UNLABELLED,UNLABELLED,UNLABELLED,26,30,397,551,"Da quando il camion s’era rovesciato, proprio alla curva della prima discesa, il dente aveva ripreso a dolermi, e ora un impulso che sentivo irresistibile (forse l’impazienza della nevralgia) mi spingeva a lasciare quel luogo.","['4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '4-13', '4-14', '4-15', '4-16', '4-17', '4-18', '4-19', '4-20', '4-21', '4-22', '4-23', '4-24', '4-25', '4-26', '4-27', '4-28', '4-29', '4-30']",5
(forse l ’ impazienza della nevralgia),Narrator,Judgement,Narrator_Judgement,5,8,552,588,"Da quando il camion s’era rovesciato, proprio alla curva della prima discesa, il dente aveva ripreso a dolermi, e ora un impulso che sentivo irresistibile (forse l’impazienza della nevralgia) mi spingeva a lasciare quel luogo.","['4-31', '4-32', '4-33', '4-34', '4-35', '4-36', '4-37', '4-38']",6
mi spingeva a lasciare quel luogo.,UNLABELLED,UNLABELLED,UNLABELLED,6,7,589,623,"Da quando il camion s’era rovesciato, proprio alla curva della prima discesa, il dente aveva ripreso a dolermi, e ora un impulso che sentivo irresistibile (forse l’impazienza della nevralgia) mi spingeva a lasciare quel luogo.","['4-39', '4-40', '4-41', '4-42', '4-43', '4-44', '4-45']",7
« Io me ne vado » dissi alzandomi.,UNLABELLED,UNLABELLED,UNLABELLED,6,9,624,656,«Io me ne vado» dissi alzandomi.,"['5-1', '5-2', '5-3', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9']",8
"Il soldato che fumava soddisfatto, ormai pronto a dividere con me gli imprevisti della nuova avventura, si rabbuiò.",Conqueror,UNLABELLED,Conqueror,18,21,657,772,"Il soldato che fumava soddisfatto, ormai pronto a dividere con me gli imprevisti della nuova avventura, si rabbuiò.","['6-1', '6-2', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '6-21']",9
« E dove ? »,UNLABELLED,UNLABELLED,UNLABELLED,2,5,773,782,«E dove?»,"['7-1', '7-2', '7-3', '7-4', '7-5']",10
