segment_text,main_category,subcategory,combined_category,word_count,token_count,start_position,end_position,original_sentence,token_ids,segment_id,pos_tags,lemmas,pos_counts,pos_distribution,dominant_pos,lexical_diversity,function_content_ratio,total_tokens
"Il caldo, quell ’ atmosfera morbida, che nemmeno la brezza del mattino riusciva a temperare, dava alle piante l ’ aspetto di animali impagliati.",Description,Landscape,Description_Landscape,22,28,253,393,"Il caldo, quell’atmosfera morbida, che nemmeno la brezza del mattino riusciva a temperare, dava alle piante l’aspetto di animali impagliati.","['3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '3-12', '3-13', '3-14', '3-15', '3-16', '3-17', '3-18', '3-19', '3-20', '3-21', '3-22', '3-23', '3-24', '3-25', '3-26', '3-27', '3-28']",4,"['DET', 'NOUN', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'ADV', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'VERB', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']","['il', 'caldo', ',', 'quello', '’', 'atmosfera', 'morbido', ',', 'che', 'nemmeno', 'il', 'brezza', 'di', 'il', 'mattino', 'riuscire', 'a', 'temperare', ',', 'dare', 'a', 'il', 'pianta', 'lo', '’', 'aspetto', 'di', 'animale', 'impagliato', '.']","{'DET': 6, 'NOUN': 7, 'PUNCT': 5, 'ADJ': 3, 'PRON': 1, 'ADV': 1, 'ADP': 4, 'VERB': 3}","{'DET': 0.2, 'NOUN': 0.23333333333333334, 'PUNCT': 0.16666666666666666, 'ADJ': 0.1, 'PRON': 0.03333333333333333, 'ADV': 0.03333333333333333, 'ADP': 0.13333333333333333, 'VERB': 0.1}",NOUN,0.7333333333333333,0.7857142857142857,30
"Il soldato che fumava soddisfatto, ormai pronto a dividere con me gli imprevisti della nuova avventura, si rabbuiò.",Conqueror,UNLABELLED,Conqueror,18,21,657,772,"Il soldato che fumava soddisfatto, ormai pronto a dividere con me gli imprevisti della nuova avventura, si rabbuiò.","['6-1', '6-2', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '6-21']",9,"['DET', 'NOUN', 'PRON', 'VERB', 'VERB', 'PUNCT', 'ADV', 'ADJ', 'ADP', 'VERB', 'ADP', 'PRON', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'PUNCT']","['il', 'soldato', 'che', 'fumare', 'soddisfare', ',', 'ormai', 'pronto', 'a', 'dividere', 'con', 'me', 'il', 'imprevisto', 'di', 'il', 'nuovo', 'avventura', ',', 'si', 'rabbuiare', '.']","{'DET': 3, 'NOUN': 3, 'PRON': 3, 'VERB': 4, 'PUNCT': 3, 'ADV': 1, 'ADJ': 2, 'ADP': 3}","{'DET': 0.13636363636363635, 'NOUN': 0.13636363636363635, 'PRON': 0.13636363636363635, 'VERB': 0.18181818181818182, 'PUNCT': 0.13636363636363635, 'ADV': 0.045454545454545456, 'ADJ': 0.09090909090909091, 'ADP': 0.13636363636363635}",VERB,0.8636363636363636,0.9,22
"Non vedevamo ancora il fiume ma era là sotto, nella sua valle scavata da secoli e guardata da qualche pigro coccodrillo a caccia di lavandaie.",Description,Landscape,Description_Landscape,25,27,810,952,"Non vedevamo ancora il fiume ma era là sotto, nella sua valle scavata da secoli e guardata da qualche pigro coccodrillo a caccia di lavandaie.","['10-1', '10-2', '10-3', '10-4', '10-5', '10-6', '10-7', '10-8', '10-9', '10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '10-19', '10-20', '10-21', '10-22', '10-23', '10-24', '10-25', '10-26', '10-27']",13,"['ADV', 'VERB', 'ADV', 'DET', 'NOUN', 'CCONJ', 'AUX', 'ADV', 'ADV', 'PUNCT', 'ADP', 'DET', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['non', 'vedere', 'ancora', 'il', 'fiume', 'ma', 'essere', 'là', 'sotto', ',', 'in', 'il', 'suo', 'valle', 'scavare', 'da', 'secolo', 'e', 'guardare', 'da', 'qualche', 'pigro', 'coccodrillo', 'a', 'caccia', 'di', 'lavandaia', '.']","{'ADV': 4, 'VERB': 3, 'DET': 4, 'NOUN': 6, 'CCONJ': 2, 'AUX': 1, 'PUNCT': 2, 'ADP': 5, 'ADJ': 1}","{'ADV': 0.14285714285714285, 'VERB': 0.10714285714285714, 'DET': 0.14285714285714285, 'NOUN': 0.21428571428571427, 'CCONJ': 0.07142857142857142, 'AUX': 0.03571428571428571, 'PUNCT': 0.07142857142857142, 'ADP': 0.17857142857142858, 'ADJ': 0.03571428571428571}",NOUN,0.9285714285714286,0.8571428571428571,28
"Oltre la valle, nel cielo bianco, appariva il ciglio opposto dell ’ altopiano.",Description,Landscape,Description_Landscape,12,16,1152,1228,"Oltre la valle, nel cielo bianco, appariva il ciglio opposto dell’altopiano.","['14-1', '14-2', '14-3', '14-4', '14-5', '14-6', '14-7', '14-8', '14-9', '14-10', '14-11', '14-12', '14-13', '14-14', '14-15', '14-16']",17,"['ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT']","['oltre', 'il', 'valle', ',', 'in', 'il', 'cielo', 'bianco', ',', 'apparire', 'il', 'ciglio', 'opposto', 'dell', '’', 'altopiano', '.']","{'ADP': 3, 'DET': 4, 'NOUN': 4, 'PUNCT': 3, 'ADJ': 2, 'VERB': 1}","{'ADP': 0.17647058823529413, 'DET': 0.23529411764705882, 'NOUN': 0.23529411764705882, 'PUNCT': 0.17647058823529413, 'ADJ': 0.11764705882352941, 'VERB': 0.058823529411764705}",DET,0.8235294117647058,1.0,17
Il fiume aveva scavato attorno alle montagne lasciandole asciutte come ossi.,Description,Landscape,Description_Landscape,11,12,1229,1305,Il fiume aveva scavato attorno alle montagne lasciandole asciutte come ossi.,"['15-1', '15-2', '15-3', '15-4', '15-5', '15-6', '15-7', '15-8', '15-9', '15-10', '15-11', '15-12']",18,"['DET', 'NOUN', 'AUX', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'PUNCT']","['il', 'fiume', 'avere', 'scavare', 'attorno', 'a', 'il', 'montagna', 'lasciandole', 'asciutto', 'come', 'osso', '.']","{'DET': 2, 'NOUN': 3, 'AUX': 1, 'VERB': 2, 'ADV': 1, 'ADP': 2, 'ADJ': 1, 'PUNCT': 1}","{'DET': 0.15384615384615385, 'NOUN': 0.23076923076923078, 'AUX': 0.07692307692307693, 'VERB': 0.15384615384615385, 'ADV': 0.07692307692307693, 'ADP': 0.15384615384615385, 'ADJ': 0.07692307692307693, 'PUNCT': 0.07692307692307693}",NOUN,0.9230769230769231,0.7142857142857143,13
"Tra i due cigli correvano chilometri, quanti non so, perché le distanze ingannano con questa luce che disegna le più lontane minuzie: forse cinque o sei.",Description,Landscape,Description_Landscape,26,30,1306,1459,"Tra i due cigli correvano chilometri, quanti non so, perché le distanze ingannano con questa luce che disegna le più lontane minuzie: forse cinque o sei.","['16-1', '16-2', '16-3', '16-4', '16-5', '16-6', '16-7', '16-8', '16-9', '16-10', '16-11', '16-12', '16-13', '16-14', '16-15', '16-16', '16-17', '16-18', '16-19', '16-20', '16-21', '16-22', '16-23', '16-24', '16-25', '16-26', '16-27', '16-28', '16-29', '16-30']",19,"['ADP', 'DET', 'NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'VERB', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'NUM', 'CCONJ', 'NUM', 'PUNCT']","['tra', 'il', 'due', 'ciglio', 'correre', 'chilometro', ',', 'quanto', 'non', 'sapere', ',', 'perché', 'il', 'distanza', 'ingannare', 'con', 'questo', 'luce', 'che', 'disegnare', 'il', 'più', 'lontano', 'minuzia', ':', 'forse', 'cinque', 'o', 'sei', '.']","{'ADP': 2, 'DET': 4, 'NUM': 3, 'NOUN': 5, 'VERB': 4, 'PUNCT': 4, 'PRON': 2, 'ADV': 3, 'SCONJ': 1, 'ADJ': 1, 'CCONJ': 1}","{'ADP': 0.06666666666666667, 'DET': 0.13333333333333333, 'NUM': 0.1, 'NOUN': 0.16666666666666666, 'VERB': 0.13333333333333333, 'PUNCT': 0.13333333333333333, 'PRON': 0.06666666666666667, 'ADV': 0.1, 'SCONJ': 0.03333333333333333, 'ADJ': 0.03333333333333333, 'CCONJ': 0.03333333333333333}",NOUN,0.9,0.7692307692307693,30
Il soldato non voleva cedere.,Conqueror,UNLABELLED,Conqueror,5,6,1658,1687,Il soldato non voleva cedere.,"['21-1', '21-2', '21-3', '21-4', '21-5', '21-6']",24,"['DET', 'NOUN', 'ADV', 'AUX', 'VERB', 'PUNCT']","['il', 'soldato', 'non', 'volere', 'cedere', '.']","{'DET': 1, 'NOUN': 1, 'ADV': 1, 'AUX': 1, 'VERB': 1, 'PUNCT': 1}","{'DET': 0.16666666666666666, 'NOUN': 0.16666666666666666, 'ADV': 0.16666666666666666, 'AUX': 0.16666666666666666, 'VERB': 0.16666666666666666, 'PUNCT': 0.16666666666666666}",DET,1.0,0.6666666666666666,6
"Era passato soltanto un colonnello, annoiato come un generale.",Conqueror,UNLABELLED,Conqueror,9,11,1827,1889,"Era passato soltanto un colonnello, annoiato come un generale.","['24-1', '24-2', '24-3', '24-4', '24-5', '24-6', '24-7', '24-8', '24-9', '24-10', '24-11']",27,"['AUX', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['essere', 'passare', 'soltanto', 'uno', 'colonnello', ',', 'annoiare', 'come', 'uno', 'generale', '.']","{'AUX': 1, 'VERB': 2, 'ADV': 1, 'DET': 2, 'NOUN': 2, 'PUNCT': 2, 'ADP': 1}","{'AUX': 0.09090909090909091, 'VERB': 0.18181818181818182, 'ADV': 0.09090909090909091, 'DET': 0.18181818181818182, 'NOUN': 0.18181818181818182, 'PUNCT': 0.18181818181818182, 'ADP': 0.09090909090909091}",VERB,0.9090909090909091,0.8,11
Il soldato finse di crederci e questa sua improvvisa e ostile condiscendenza mi fece arrossire.,Conqueror,UNLABELLED,Conqueror,15,16,2473,2568,Il soldato finse di crederci e questa sua improvvisa e ostile condiscendenza mi fece arrossire.,"['31-1', '31-2', '31-3', '31-4', '31-5', '31-6', '31-7', '31-8', '31-9', '31-10', '31-11', '31-12', '31-13', '31-14', '31-15', '31-16']",34,"['DET', 'NOUN', 'VERB', 'ADP', 'VERB', 'PRON', 'CCONJ', 'DET', 'DET', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PRON', 'VERB', 'VERB', 'PUNCT']","['il', 'soldato', 'finsire', 'di', 'credere', 'ci', 'e', 'questo', 'suo', 'improvviso', 'e', 'ostile', 'condiscendenza', 'mi', 'fare', 'arrossire', '.']","{'DET': 3, 'NOUN': 2, 'VERB': 4, 'ADP': 1, 'PRON': 2, 'CCONJ': 2, 'ADJ': 2, 'PUNCT': 1}","{'DET': 0.17647058823529413, 'NOUN': 0.11764705882352941, 'VERB': 0.23529411764705882, 'ADP': 0.058823529411764705, 'PRON': 0.11764705882352941, 'CCONJ': 0.11764705882352941, 'ADJ': 0.11764705882352941, 'PUNCT': 0.058823529411764705}",VERB,0.9411764705882353,1.0,17
"Mi strinse la mano senza calore, veramente deluso.",Conqueror,UNLABELLED,Conqueror,8,10,2569,2619,"Mi strinse la mano senza calore, veramente deluso.","['32-1', '32-2', '32-3', '32-4', '32-5', '32-6', '32-7', '32-8', '32-9', '32-10']",35,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'PUNCT']","['mi', 'stringere', 'il', 'mano', 'senza', 'calore', ',', 'veramente', 'deluso', '.']","{'PRON': 1, 'VERB': 1, 'DET': 1, 'NOUN': 2, 'ADP': 1, 'PUNCT': 2, 'ADV': 1, 'ADJ': 1}","{'PRON': 0.1, 'VERB': 0.1, 'DET': 0.1, 'NOUN': 0.2, 'ADP': 0.1, 'PUNCT': 0.2, 'ADV': 0.1, 'ADJ': 0.1}",NOUN,1.0,0.6,10
